l (nm),transmission
288,0.0005121974276136077
289,0.0005029032010783424
290,0.00029438238601460173
291,0.0001098166221214828
292,3.70317325302806e-05
293,1.8635604074236362e-05
294,1.2796703958215365e-05
295,1.2302777026585747e-05
296,1.6121768848039393e-05
297,2.5042579490974458e-05
298,4.8003345749648544e-05
299,0.00011069814669637643
300,0.0004352838548469471
301,0.0009493599839176835
302,0.0009775422523448129
303,0.00045984644460609405
304,8.354342540203189e-05
305,2.736216408886463e-05
306,9.04433253980313e-06
307,3.586632958413651e-06
308,1.7452483014309388e-06
309,9.010000000434372e-07
310,5.560000005350652e-07
311,5.180000003038706e-07
312,6.76000000090847e-07
313,1.2237625200303992e-06
314,2.674068671613755e-06
315,3.7888920596872236e-06
316,4.779173762447277e-06
317,6.200133360970797e-06
318,9.952492546277663e-06
319,1.9278684630212603e-05
320,4.1278251425274054e-05
321,0.00011299632498053994
322,0.0003987609968438224
323,0.001901895553136813
324,0.015659792422718657
325,0.10462123877122878
326,0.2987041091112044
327,0.49105915028606484
328,0.5883570476113827
329,0.6222890097862456
330,0.6361902998104083
331,0.646503295493718
332,0.6534810632551012
333,0.6616234582735893
334,0.6641790765213194
335,0.6618465418326541
336,0.6599776461971546
337,0.6630166625823473
338,0.6712108605592284
339,0.6773264306689444
340,0.6804105376570311
341,0.6802848808675157
342,0.6781593329977543
343,0.6797547906334236
344,0.6801483158225633
345,0.679833525978549
346,0.6789984892653301
347,0.6803506467978853
348,0.67909935034097
349,0.6769597630887465
350,0.6763269805865708
351,0.6750919338937725
352,0.6703007510396324
353,0.6662891389872271
354,0.6662592322085018
355,0.6637366484117491
356,0.6580794527320977
357,0.6543042752425475
358,0.6535354617753887
359,0.6497319031111036
360,0.6419248968761903
361,0.6340070337157236
362,0.6268826670370202
363,0.6171472555109082
364,0.6045821768767969
365,0.593942985970418
366,0.583211975400261
367,0.5685428994695819
368,0.5510206224201285
369,0.5339538570342904
370,0.5180529403474826
371,0.4997393032916467
372,0.4777904127145487
373,0.4534602352546996
374,0.42897495267581776
375,0.40342380478447754
376,0.3762010574856977
377,0.3462546161667769
378,0.3152141951560289
379,0.2826973724964701
380,0.25086641292942097
381,0.21936344151978804
382,0.18857414270297498
383,0.15893986690272058
384,0.13102751726434725
385,0.10562556280098907
386,0.08350510587517342
387,0.0641511965116077
388,0.047918066952605406
389,0.03472289083854648
390,0.02412407877774242
391,0.01631185769529525
392,0.0106576216121134
393,0.006693428152243482
394,0.004036442339727218
395,0.00233270302206096
396,0.0012810015669977438
397,0.0006812512136788293
398,0.0003425725551778134
399,0.0001650680603149435
400,7.601681162063376e-05
401,3.360629079377986e-05
402,1.4387539103613445e-05
403,5.748606055110656e-06
404,2.310002601552244e-06
405,8.250000008549772e-07
406,3.720000001011622e-07
407,1.5899999988267906e-07
408,5.9299999950262346e-08
409,7.69999999694191e-08
410,3.519999996124703e-08
411,1.6800000010604583e-08
412,4.2699999997539606e-08
413,5.510000001880441e-08
414,3.379999997839085e-08
415,4.3500000004543616e-08
416,2.269999998990571e-08
417,2.9100000000944262e-08
418,2.2100000016023795e-08
419,1.799999999571831e-08
420,5.289999999571414e-08
421,2.36999999994486e-08
422,3.7800000014167514e-08
423,1.349999998461278e-08
424,4.2100000015930115e-08
425,9.40000000866423e-09
426,2.5599999981617656e-08
427,4.920000002635512e-08
428,6.259999996966823e-08
429,2.2399999982764595e-08
430,4.529999999866154e-08
431,1.41999999874753e-08
432,3.310000001709372e-08
433,3.010000002814983e-08
434,5.3399999996488805e-08
435,1.900000000206369e-08
436,3.9900000028779427e-08
437,4.9999999961314455e-08
438,4.3000000041625635e-08
439,3.899999999762034e-08
440,3.239999998458599e-08
441,3.100000001182964e-08
442,2.4200000001090437e-08
443,4.9700000030517064e-08
444,2.1599999992493318e-08
445,2.089999999465563e-08
446,5.259999998137975e-08
447,1.9599999983911986e-08
448,3.79000000027863e-08
449,3.560000000222346e-08
450,3.4199999995579436e-08
451,2.7599999995855334e-08
452,2.609999997967019e-08
453,4.3400000048715914e-08
454,3.040000002738669e-08
455,4.69000000307685e-08
456,2.2100000016023795e-08
457,3.490000000328034e-08
