Lambda (nm),transmission
926.5,0.000207482
927,0.000228013
927.5,0.000217901
928,0.000245691
928.5,0.000244735
929,0.000258072
929.5,0.000240828
930,0.000252954
930.5,0.000245843
931,0.000263323
931.5,0.00023957
932,0.000213028
932.5,0.00020149
933,0.000189327
933.5,0.000179152
934,0.000153041
934.5,0.000166206
935,0.000139219
935.5,0.000134582
936,0.000116289
936.5,0.00012161
937,0.000104052
937.5,9.72848E-05
938,9.5E-05
938.5,9.5E-05
939,9.5E-05
939.5,9.5E-05
940,9.5E-05
940.5,9.5E-05
941,9.5E-05
941.5,9.5E-05
942,9.5E-05
942.5,9.5E-05
943,9.5E-05
943.5,9.5E-05
944,9.5E-05
944.5,9.5E-05
945,9.5E-05
945.5,9.5E-05
946,9.5E-05
946.5,9.5E-05
947,9.5E-05
947.5,9.5E-05
948,9.5E-05
948.5,9.84232E-05
949,0.000107083
949.5,9.5E-05
950,0.000101261
950.5,0.000118588
951,0.00013695
951.5,0.000141378
952,0.000164698
952.5,0.000189109
953,0.000215356
953.5,0.00024663
954,0.00029466
954.5,0.000356185
955,0.000452034
955.5,0.000515573
956,0.000638804
956.5,0.000772286
957,0.000893911
957.5,0.00101863
958,0.00113922
958.5,0.00121225
959,0.00128289
959.5,0.00129543
960,0.00129228
960.5,0.00123615
961,0.00116608
961.5,0.0010785
962,0.000961779
962.5,0.000861048
963,0.000778045
963.5,0.000687347
964,0.00060955
964.5,0.000571361
965,0.00053413
965.5,0.00048416
966,0.000447845
966.5,0.000451163
967,0.0004431
967.5,0.000425059
968,0.000420923
968.5,0.000433414
969,0.000427191
969.5,0.000421903
970,0.000452555
970.5,0.000453854
971,0.000484335
971.5,0.000504187
972,0.000498376
972.5,0.000520056
973,0.00056695
973.5,0.000586882
974,0.000592114
974.5,0.000602949
975,0.000621358
975.5,0.000626746
976,0.000605961
976.5,0.000600135
977,0.000581384
977.5,0.00054477
978,0.000508273
978.5,0.000470959
979,0.000445092
979.5,0.000417954
980,0.000395203
980.5,0.000361593
981,0.000326778
981.5,0.000301987
982,0.000272099
982.5,0.000271071
983,0.000248957
983.5,0.000236623
984,0.000209132
984.5,0.000217448
985,0.000197579
985.5,0.000193584
986,0.000164893
986.5,0.000168329
987,0.000168583
987.5,0.000179279
988,0.000165185
988.5,0.000170987
989,0.000171884
989.5,0.000165692
990,0.00016338
990.5,0.000193912
991,0.00017587
991.5,0.000197855
992,0.000219095
992.5,0.000206972
993,0.000223026
993.5,0.000241763
994,0.000249328
994.5,0.000272629
995,0.000305384
995.5,0.000332247
996,0.000393619
996.5,0.000425442
997,0.000477396
997.5,0.000583222
998,0.000658615
998.5,0.00073769
999,0.000832538
999.5,0.000923744
1000,0.00102151
1000.5,0.00109884
1001,0.00114897
1001.5,0.00114516
1002,0.00114571
1002.5,0.00110272
1003,0.00102755
1003.5,0.000928447
1004,0.000811695
1004.5,0.000722359
1005,0.000617025
1005.5,0.000555675
1006,0.000492102
1006.5,0.000417024
1007,0.000359786
1007.5,0.000310764
1008,0.00027203
1008.5,0.000265081
1009,0.000243071
1009.5,0.000213993
1010,0.000194292
1010.5,0.00019508
1011,0.000172867
1011.5,0.000168086
1012,0.000151393
1012.5,0.000145517
1013,0.000146147
1013.5,0.000148707
1014,0.000152929
1014.5,0.000134567
1015,0.000122318
1015.5,0.000131033
1016,0.000136321
1016.5,0.000127216
1017,0.00012941
1017.5,0.000129224
1018,0.000125226
1018.5,0.00012282
1019,0.000146497
1019.5,0.0001363
1020,0.000135005
1020.5,0.000151461
1021,0.000148273
1021.5,0.000150327
1022,0.000147253
1022.5,0.000166612
1023,0.000175938
1023.5,0.000193837
1024,0.000196054
1024.5,0.000216076
1025,0.000230126
1025.5,0.000234121
1026,0.000261953
1026.5,0.000261918
1027,0.00027905
1027.5,0.000316392
1028,0.000331803
1028.5,0.000350074
1029,0.000391336
1029.5,0.000432842
1030,0.000457878
1030.5,0.000483226
1031,0.000523475
1031.5,0.000548766
1032,0.000577818
1032.5,0.000598055
1033,0.000617269
1033.5,0.000635396
1034,0.000629054
1034.5,0.000644407
1035,0.00062318
1035.5,0.000622004
1036,0.000599174
1036.5,0.000593089
1037,0.000571521
