Lambda (nm),transmission
928,0.000116408
928.5,0.000116057
929,0.000115705
929.5,9.83142E-05
930,9.5E-05
930.5,9.5E-05
931,9.5E-05
931.5,9.5E-05
932,9.5E-05
932.5,9.5E-05
933,9.5E-05
933.5,9.5E-05
934,9.5E-05
934.5,9.5E-05
935,9.5E-05
935.5,9.5E-05
936,9.5E-05
936.5,9.5E-05
937,9.5E-05
937.5,9.5E-05
938,9.5E-05
938.5,9.5E-05
939,9.5E-05
939.5,9.5E-05
940,9.5E-05
940.5,9.5E-05
941,9.5E-05
941.5,9.5E-05
942,9.5E-05
942.5,9.5E-05
943,9.5E-05
943.5,9.5E-05
944,9.5E-05
944.5,9.5E-05
945,9.5E-05
945.5,9.5E-05
946,9.5E-05
946.5,9.5E-05
947,9.5E-05
947.5,9.5E-05
948,9.5E-05
948.5,9.5E-05
949,9.5E-05
949.5,9.5E-05
950,9.5E-05
950.5,9.5E-05
951,9.5E-05
951.5,9.5E-05
952,9.5E-05
952.5,9.5E-05
953,9.5E-05
953.5,9.5E-05
954,9.5E-05
954.5,9.5E-05
955,9.5E-05
955.5,9.5E-05
956,9.5E-05
956.5,9.5E-05
957,9.5E-05
957.5,9.71424E-05
958,0.000110264
958.5,0.000109223
959,0.000108181
959.5,9.5E-05
960,9.5E-05
960.5,9.5E-05
961,9.5E-05
961.5,9.5E-05
962,9.5E-05
962.5,9.5E-05
963,9.5E-05
963.5,9.5E-05
964,9.5E-05
964.5,9.5E-05
965,9.5E-05
965.5,9.5E-05
966,9.5E-05
966.5,9.5E-05
967,9.5E-05
967.5,9.5E-05
968,9.5E-05
968.5,9.5E-05
969,9.5E-05
969.5,9.5E-05
970,9.5E-05
970.5,0.000110721
971,0.000145846
971.5,0.000185453
972,0.00022498
972.5,0.000245077
973,0.000265184
973.5,0.000262735
974,0.000260278
974.5,0.00022238
975,0.000184598
975.5,0.000154409
976,0.000124265
976.5,9.5E-05
977,9.5E-05
977.5,9.5E-05
978,9.5E-05
978.5,9.5E-05
979,9.5E-05
979.5,9.5E-05
980,9.5E-05
980.5,9.5E-05
981,9.5E-05
981.5,9.5E-05
982,9.5E-05
982.5,9.5E-05
983,9.5E-05
983.5,9.5E-05
984,9.5E-05
984.5,9.5E-05
985,9.5E-05
985.5,9.5E-05
986,9.5E-05
986.5,9.5E-05
987,9.5E-05
987.5,9.5E-05
988,9.5E-05
988.5,9.5E-05
989,9.5E-05
989.5,9.5E-05
990,9.5E-05
990.5,9.5E-05
991,9.5E-05
991.5,9.5E-05
992,9.5E-05
992.5,9.5E-05
993,9.5E-05
993.5,9.5E-05
994,9.5E-05
994.5,9.5E-05
995,9.5E-05
995.5,9.5E-05
996,9.5E-05
996.5,9.5E-05
997,9.5E-05
997.5,9.5E-05
998,9.5E-05
998.5,9.5E-05
999,9.5E-05
999.5,9.5E-05
1000,9.5E-05
1000.5,9.5E-05
1001,9.5E-05
1001.5,9.5E-05
1002,9.5E-05
1002.5,9.5E-05
1003,9.5E-05
1003.5,9.5E-05
1004,9.5E-05
1004.5,9.5E-05
1005,9.5E-05
1005.5,9.5E-05
1006,9.5E-05
1006.5,9.5E-05
1007,9.5E-05
1007.5,9.5E-05
1008,9.5E-05
1008.5,9.5E-05
1009,9.5E-05
1009.5,9.5E-05
1010,9.5E-05
1010.5,9.5E-05
1011,9.5E-05
1011.5,9.5E-05
1012,9.5E-05
1012.5,9.5E-05
1013,9.5E-05
1013.5,9.5E-05
1014,9.5E-05
1014.5,9.5E-05
1015,9.5E-05
1015.5,9.5E-05
1016,9.5E-05
1016.5,9.5E-05
1017,9.5E-05
1017.5,9.5E-05
1018,9.5E-05
1018.5,9.5E-05
1019,0.000103057
1019.5,0.000116553
1020,0.000130048
1020.5,0.000139213
1021,0.000148359
1021.5,0.00017956
1022,0.000210879
1022.5,0.000246893
1023,0.000282782
1023.5,0.000319084
1024,0.000355438
1024.5,0.000398039
1025,0.000440624
1025.5,0.000464082
1026,0.0004875
1026.5,0.000517657
1027,0.000547855
1027.5,0.000567493
