band,filter_id,facility,instrument,wavelength_eff,fwhm,mean_overlap,min_overlap,median_overlap,n_low_pairs,is_outlier
R,CAHA/MUNICS.R,CAHA,MUNICS,6405.6,1661.8,0.9429,0.6498,0.9528,0,False
R,LICK/LICK.R,LICK,,6306.9,1285.0,0.9527,0.6550,0.9682,0,False
R,CTIO/Y4KCam.Rc,CTIO,Y4KCam,6451.2,1698.8,0.9533,0.5898,0.9779,0,False
R,OAF/Bessell.R,OAF,,6502.1,1459.7,0.9572,0.6291,0.9787,0,False
R,LaSilla/EFOSC.ESO642,La Silla,EFOSC,6414.4,1667.5,0.9575,0.5979,0.9847,0,False
R,Misc/AndromedA.R,AndromedA,,6366.3,1506.4,0.9582,0.6073,0.9854,0,False
R,CTIO/SOI.bessel_R,CTIO,SOI,6326.1,1220.9,0.9584,0.6606,0.9744,0,False
R,TNG/OIG.R,TNG,OIG,6271.5,1278.5,0.9587,0.6352,0.9829,0,False
R,SAO/SCORPIO.R,SAO,SCORPIO,6426.3,1495.5,0.9594,0.6144,0.9846,0,False
R,Scorpio/Cousins.Rc,Scorpio,,6428.0,1495.5,0.9596,0.6137,0.9840,0,False
R,LaSilla/SUSI2.R,La Silla,SUSI2,6410.5,1588.9,0.9597,0.6040,0.9865,0,False
R,Paranal/FORS1.ESO1036,Paranal,FORS1,6473.3,1561.1,0.9598,0.6186,0.9837,0,False
R,TNG/TNG.TNG04,TNG,,6271.9,1278.5,0.9600,0.6345,0.9853,0,False
R,CAHA/Astralux.R_filter,CAHA,Astralux,6466.9,1773.7,0.9603,0.6037,0.9873,0,False
R,BOK/90prime.R,BOK,90prime,6284.3,1242.9,0.9606,0.6439,0.9805,0,False
R,INT/WFC.R,INT,WFC,6390.9,1534.0,0.9607,0.6076,0.9892,0,False
R,IAC80/CAMELOT.R,IAC80,CAMELOT,6283.8,1274.6,0.9608,0.6370,0.9839,0,False
R,CAHA/PlanetCam2.VIS_R,CAHA,PlanetCam2,6321.6,1335.8,0.9610,0.6523,0.9788,0,False
R,KPNO/Mosaic.R,KPNO,Mosaic,6452.9,1488.0,0.9611,0.6150,0.9852,0,False
R,NOT/StanCam.Bes_R,NOT,StanCam,6433.7,1503.1,0.9617,0.6163,0.9878,0,False
R,OSN/Circ.Cousins_R,OSN,,6397.0,1519.3,0.9618,0.6078,0.9884,0,False
R,OSN/Johnson.Cousins_R3,OSN,,6456.0,1700.0,0.9619,0.6079,0.9885,0,False
R,LCO/MagIC.R,LCO,MagIC,6425.7,1531.8,0.9620,0.6108,0.9875,0,False
R,FLWO/KeplerCam.R_Harris,FLWO,KeplerCam,6485.2,1699.8,0.9620,0.6113,0.9876,0,False
R,TJO/MEIA.Rc,TJO,MEIA,6303.5,1165.0,0.9622,0.6641,0.9797,0,False
R,OSN/Johnson.Cousins_R1,OSN,,6464.3,1692.5,0.9622,0.6096,0.9887,0,False
R,OSN/Johnson.Cousins_R2,OSN,,6442.0,1468.6,0.9624,0.6211,0.9867,0,False
R,FLWO/KeplerCam.R_Harris_old,FLWO,KeplerCam,6328.5,1338.5,0.9625,0.6453,0.9841,0,False
R,TNG/DOLORES.R,TNG,DOLORES,6441.2,1510.0,0.9627,0.6180,0.9878,0,False
R,TNG/TNG.TNG12,TNG,,6442.1,1509.9,0.9627,0.6177,0.9875,0,False
R,LCO/IMACS.Bessell_R1,LCO,IMACS,6436.8,1539.7,0.9629,0.6166,0.9878,0,False
R,LCO/IMACS.Bessell_R2,LCO,IMACS,6440.2,1551.1,0.9629,0.6170,0.9881,0,False
R,CTIO/MosaicII.R,CTIO,MosaicII,6497.1,1649.9,0.9630,0.6210,0.9880,0,False
R,CAHA/Astralux.R_noatm,CAHA,Astralux,6420.9,1695.1,0.9639,0.6155,0.9907,0,False
R,Keck/LRIS.R,Keck,LRIS,6303.9,1185.4,0.9639,0.6558,0.9843,0,False
R,CAHA/PlanetCam2.VIS_R_filter,CAHA,PlanetCam2,6353.6,1395.0,0.9640,0.6460,0.9852,0,False
R,LBT/LBCR.bessel-R,LBT,LBC,6344.8,1187.1,0.9641,0.6699,0.9832,0,False
R,HCT/HFOSC.Bessell_R,HCT,HFOSC,6484.2,1582.9,0.9641,0.6339,0.9882,0,False
R,CAHA/Astralux.R,CAHA,Astralux,6427.8,1716.6,0.9643,0.6195,0.9910,0,False
